monday_field_name,monday_column_id,monday_field_type,normalized_field_path,spreadsheet_tab,spreadsheet_cell_or_range,estimate_section,mapping_type,transformation_logic,required_for_automation,manual_review_if_missing,notes
Wifi Install,multi_select01zypan0,dropdown_multi,network.wifiInstallResponsibility,--,--,Network,transform,"Take first value from multi-select. Map to lowercase enum.",no,no,"'N/A' means no wifi needed"
"Signage & Bollards",dropdown_mkq15p5a,dropdown_multi,accessories.signageNeeded + accessories.bollardsNeeded,--,--,Accessories,transform,"Parse multi-select: if includes 'Signage' -> signageNeeded=true; if includes 'Bollards' -> bollardsNeeded=true; 'None' -> both false",no,no,Quantity fields do not exist in Monday; default to charger count or manual entry
Post-Tensioned,color_mkqzzcq3,status,parkingEnvironment.postTensioned,--,--,Civil,transform,"Map status label to lowercase enum",no,yes,"0% fill rate. Critical for garage projects - affects core drilling method and cost."
Installation location,text_mkq13wmf,text,parkingEnvironment.installationLocationDescription,--,--,Site,direct,None - pass through,no,yes,Free text; used for manual review context
"Electrical room or main panel setup",text_mkq1qk6q,text,electrical.roomDescription,--,--,Electrical,direct,None - pass through,no,yes,Free text; used for manual review context
"Approximate distance from electrical room/main panel to charger location",text_mkq1yy5,text,electrical.conduitDistanceFeet,--,--,Electrical,transform,"Parse numeric value from free text. Strip units (ft, feet, '). If not parseable, flag for manual review.",yes,yes,"0% fill rate. Critical for wire/conduit cost calculation."
Additional notes & comments,long_text_mkq1n1nf,long_text,notes.additionalNotes,--,--,Notes,direct,None - pass through,no,no,Displayed in estimate notes section
"Action Items & Next Steps",long_text_mkq296dg,long_text,notes.actionItems,--,--,Internal,direct,None - pass through,no,no,Internal use only; not shown on estimate
Aerial View,file_mksn7ncj,file,notes.aerialViewFiles,--,--,Attachments,transform,"Extract file URLs from Monday file column",no,no,Reference for manual review
"Related Documents / Photos",file_mkqehy82,file,notes.relatedDocuments,--,--,Attachments,transform,"Extract file URLs from Monday file column",no,no,Reference for manual review
"(R&R) Number of Chargers",numeric_mkq19jsg,numbers,charger.existing.count,--,--,R&R,direct,Integer pass-through,conditional,yes,Required when projectType = remove_replace
"(R&R) Port type",color_mkq19jar,status,charger.existing.portType,--,--,R&R,transform,"Map status label to lowercase enum",conditional,no,Required when projectType = remove_replace
"(R&R) Charger Brand",multi_selecttt4bf0xk,dropdown_multi,charger.existing.brands,--,--,R&R,transform,"Map dropdown values to snake_case enum array",conditional,no,Required when projectType = remove_replace
"(R&R) Mounting Style",color_mkq136xm,status,charger.existing.mountingStyle,--,--,R&R,transform,"Map status label to lowercase enum",conditional,no,Required when projectType = remove_replace
"(R&R) Amps drawn to each charger",long_text_mkq1tm3d,long_text,charger.existing.ampsPerCharger,--,--,R&R,transform,"Parse numeric value from long text. If not parseable, flag for manual review.",conditional,yes,Free text field; should be numeric
Send Email,button_mksg5eyk,button,--,--,--,--,ignore,Not mapped - automation button,no,no,Monday.com automation; irrelevant to estimator
"# Of Units",numberaq2a9gzt,numbers,site.numberOfUnits,--,--,Site,direct,Integer pass-through,no,no,Apartment/hotel unit count; informational
"Single select",single_selectoo30hnc,status,parkingEnvironment.type,--,--,Site,transform,"Map: 'Parking Lot'->'surface_lot', 'Parking Garage'->'parking_garage', 'Other'->'other'",yes,yes,"0% fill rate. Poorly named. Should be required."
--,--,--,charger.new.superchargerPackage,Tesla Supercharger Pricing,Package row lookup,"Hardware",derived,"When brand=tesla_supercharger, map charger count to nearest package config (4/6/8/10/12/16/20/24/28 stalls)",conditional,yes,No Monday field - derived from brand + count
--,--,--,project.pricingTier,Tesla Supercharger Pricing,Bulk vs MSRP column,"Hardware",manual,"Must be specified by user - no Monday field exists",conditional,yes,Required for Supercharger pricing
